2021-10-06 21:06:58.0844||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:06:58.1006||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:06:58.1006||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:08:05.5873||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:08:07.6267|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:08:08.3181||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:08:08.3181||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:08:08.3337||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:08:43.0784||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:08:45.5006|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:08:46.0956||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:08:46.1089||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:08:46.1162||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:10:02.7479||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:10:05.1545|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:10:05.7090||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:10:05.7090||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:10:05.7090||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:12:24.9547||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:12:26.9717|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:12:27.5092||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:12:27.5092||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:12:27.5241||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:13:36.6915||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:13:39.0409|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:13:39.6452||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:13:39.6529||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:13:39.6529||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:15:31.6908||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:15:33.6845|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:15:34.1935||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:15:34.1935||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:15:34.1935||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:17:22.3540||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:17:25.3697|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:17:25.9516||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:17:25.9516||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:17:25.9604||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:40:27.5283||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:40:30.2733|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:40:30.8936||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:40:30.8936||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:40:30.8966||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:41:58.6906||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:42:00.7723|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:42:01.2718||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:42:01.2718||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:42:01.2861||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:46:54.1983||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:46:56.1656|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:46:56.7177||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:46:56.7305||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 21:46:56.7440||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 21:55:17.7629||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 21:55:19.7730|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 21:55:20.3181||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 21:55:20.3181||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
